product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
182,Шейка,2398,783,Мясо,Помогает поддерживать здоровье глаз и зрение благодаря содержанию витамина A.,2008-03-02,2019-01-05,3.89,Cancelled
183,Кориандр молотый,8879,256,Бакалея,Отличается высоким уровнем биологической доступности питательных веществ.,2009-01-25,2021-02-05,4.71,Available for Pickup
184,Яблоко,8336,99,Фрукты,"Подходит для веганов и вегетарианцев, если произведен без использования животных компонентов.",2016-01-19,2028-09-02,0.49,On Backorder
185,Саратовская,8513,336,Напитки,"Помогает поддерживать нормальный уровень сапонинов, веществ, способствующих снижению уровня холестерина.",2017-05-05,2029-08-02,4.87,Available for Pickup
186,Мыло твердое,3412,193,Товары для дома,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2005-05-04,2005-06-05,1.84,Returned
187,Имбирь молотый,3568,215,Бакалея,"Отличается высоким содержанием капсаицина, вещества, ускоряющего метаболизм и уменьшающего боль.",2020-01-17,2025-08-04,4.45,Returned
188,Туалетная бумага,3922,717,Товары для дома,"Помогает поддерживать нормальный уровень аллицина, вещества, обладающего антибактериальными и противогрибковыми свойствами.",1991-01-20,2003-02-27,3.7,Backorder
189,Слива,9278,950,Фрукты,Помогает поддерживать нормальный уровень гемоглобина в крови.,2020-04-08,2025-03-10,1.94,Cancelled
190,Брынза,4336,572,Молочные продукты,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",2000-04-18,2025-02-25,1.64,Delivered
191,Корица молотая,3096,765,Бакалея,Помогает поддерживать здоровье глаз и зрение благодаря содержанию витамина A.,2009-03-02,2025-05-06,3.7,Cancelled
192,Петрушка сушеная,2510,290,Бакалея,Помогает предотвратить дефицит витаминов и минералов в организме.,2002-06-15,2022-01-03,1.57,In Stock
193,Противни,9550,650,Товары для дома,Помогает регулировать уровень сахара в крови и предотвращать резкие скачки инсулина.,2008-01-27,2022-05-04,1.15,Awaiting Review
194,Фета,8558,597,Молочные продукты,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2008-06-03,2027-04-13,2.78,Pending
195,San Pellegrino,8532,773,Напитки,Помогает снизить риск развития сердечно-сосудистых заболеваний.,1992-10-03,2011-03-04,2.28,Sold
